entity,security_code,metric,fiscal_year,period_start,period_end,value,unit,currency,scope,status,source_id,locator
エコム,6225,industrial_backlog,2025,2024-08-01,2025-07-31,959,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,maintenance_orders,2025,2024-08-01,2025-07-31,1069,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,maintenance_backlog,2025,2024-08-01,2025-07-31,230,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,industrial_orders,2026,2025-08-01,2026-07-31,1817,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,industrial_backlog,2026,2025-08-01,2026-07-31,1171,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,maintenance_orders,2026,2025-08-01,2026-07-31,1077,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,maintenance_backlog,2026,2025-08-01,2026-07-31,249,百万円,JPY,単体,実績,S3,PDF p.27（スライド26）/ 図を目視照合
エコム,6225,revenue,2027,2026-08-01,2027-07-31,3000000,千円,JPY,連結,会社予想,S4,PDF p.1 / 連結予想
エコム,6225,operating_profit,2027,2026-08-01,2027-07-31,540000,千円,JPY,連結,会社予想,S4,PDF p.1 / 連結予想
エコム,6225,ordinary_profit,2027,2026-08-01,2027-07-31,558000,千円,JPY,連結,会社予想,S4,PDF p.1 / 連結予想
エコム,6225,net_profit,2027,2026-08-01,2027-07-31,362000,千円,JPY,連結,会社予想,S4,PDF p.1 / 連結予想
エコム,6225,revenue,2028,2027-08-01,2028-07-31,3290000,千円,JPY,連結,会社中期計画,S5,PDF p.2 / 会社の計画表
エコム,6225,operating_profit,2028,2027-08-01,2028-07-31,565000,千円,JPY,連結,会社中期計画,S5,PDF p.2 / 会社の計画表
エコム,6225,revenue,2029,2028-08-01,2029-07-31,3608000,千円,JPY,連結,会社中期計画,S5,PDF p.2 / 会社の計画表
エコム,6225,operating_profit,2029,2028-08-01,2029-07-31,630000,千円,JPY,連結,会社中期計画,S5,PDF p.2 / 会社の計画表
エコム,6225,revenue,2030,2029-08-01,2030-07-31,3958000,千円,JPY,連結,会社中期計画,S5,PDF p.2 / 会社の計画表
エコム,6225,operating_profit,2030,2029-08-01,2030-07-31,717000,千円,JPY,連結,会社中期計画,S5,PDF p.2 / 会社の計画表
エコム,6225,revenue,2031,2030-08-01,2031-07-31,4341000,千円,JPY,連結,会社中期計画,S5,PDF p.2 / 会社の計画表
エコム,6225,operating_profit,2031,2030-08-01,2031-07-31,809000,千円,JPY,連結,会社中期計画,S5,PDF p.2 / 会社の計画表
エコム,6225,dividend_per_share,2024,2023-08-01,2024-07-31,28,円,JPY,単体,公表配当,S3,PDF p.39
エコム,6225,dividend_per_share,2025,2024-08-01,2025-07-31,32,円,JPY,単体,公表配当,S2,PDF p.1
エコム,6225,dividend_per_share,2026,2025-08-01,2026-07-31,36,円,JPY,単体,公表配当,S2,PDF p.1
エコム,6225,dividend_per_share,2027,2026-08-01,2027-07-31,38,円,JPY,単体,会社予想,S2,PDF p.1
